Hugo_Symbol	Entrez_Gene_Id	GrCh37_Isoform	GrCh37_RefSeq	GrCh38_Isoform	GrCh38_RefSeq	# of occurrence within resources (column d_J)	OncoKB_Annotated	Is_Oncogene	Is_Tumor_Suppressor_Gene	Msk_Impact	Msk_Heme	Foundation_One	Foundation_One_Heme	Vogelstein	Sanger_Cgc(05/30/2017)	Tier_CGC(v.92)	In_CGC(v.92)	Role_In_Cancer_CGC(v.92)	In_CIViC(08_21)	Description_CIViC(08_21)	Inclusion_Level
NPM1	4869	ENST00000296930	NM_002520.6	ENST00000296930	NM_002520.6	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	AML with mutated NPM1 is a provisional entity in the WHO classification of AML and is recommended to be tested in patients with cytogenetically normal AML (CN-AML). FLT3 mutations should be evaluated concurrently as they have prognostic consequences. NPM1 mutations are concentrated in exon 12, most frequently W288fs which results in cytoplasmic sequestration of the protein. Exon 12 NPM1 mutations in the absence of FLT3-ITD are associated with good prognostic outcomes. Mice expressing the Npm1-W288fs mutation develop myeloproliferative neoplasms but not overt leukemia, indicating it may require additional mutations to promote leukemic development.	1.0
NRAS	4893	ENST00000369535	NM_002524.4	ENST00000369535	NM_002524.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	Mutations in the RAS family of proteins have frequently been observed across cancer types. The amino acid positions G12, G13 and Q61 account for the overwhelming majority of these mutations. The isoforms, despite their raw similarity, also behave very differently when expressed in non-native tissue types, likely due to differences in the C-terminal hyper-variable regions. Mis-regulation of isoform expression has been shown to be a driving event in cancer, as well as missense mutations at the three hotspots previously mentioned. While highly recurrent in cancer, targeting these RAS mutants has also been very elusive, and has not yet become common practice in the clinic.	1.0
PAX5	5079	ENST00000358127	NM_016734.2	ENST00000358127	NM_016734.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
PBRM1	55193	ENST00000394830	NM_018313.4	ENST00000394830	NM_018313.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
PDGFRA	5156	ENST00000257290	NM_006206.4	ENST00000257290	NM_006206.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	Commonly mutated in GI tract tumors, PDGFR family genes (mutually exclusive to KIT mutations) are a hallmark of gastrointestinal stromal tumors. Gene fusions involving the PDGFRA kinase domain are highly correlated with eosinophilia, and the WHO classifies myeloid and lymphoid neoplasms with these characteristics as a distinct disorder. Mutations in the 842 region of PDGFRA have been often found to confer resistance to the tyrosine kinase inhibitor, imatinib.	1.0
PIK3CA	5290	ENST00000263967	NM_006218.2	ENST00000263967	NM_006218.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	PIK3CA is the most recurrently mutated gene in breast cancer, and has been found to important in a number of cancer types. An integral part of the PI3K pathway, PIK3CA has long been described as an oncogene, with two main hotspots for activating mutations, the 542/545 region of the helical domain, and the 1047 region of the kinase domain. PIK3CA, and its interaction with the AKT and mTOR pathways, is the subject of an immense amount of research and development, and PI3K inhibition has seen some limited success in recent clinical trials. While monotherapies seem to be limited in their potential, there is a recent interest in pursuing PI3K inhibition as part of a combination therapy regiment with inhibition partners including TKI's, MEK inhibitors, PARP inhibitors, and in breast cancer, aromatase inhibitors.	1.0
PIK3R1	5295	ENST00000274335	NM_181523.2	ENST00000521381	NM_181523.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
PPP2R1A	5518	ENST00000322088	NM_014225.5	ENST00000322088	NM_014225.5	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
PRDM1	639	ENST00000369096	NM_001198.3	ENST00000369096	NM_001198.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
PTCH1	5727	ENST00000331920	NM_000264.3	ENST00000331920	NM_000264.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
PTEN	5728	ENST00000371953	NM_000314.4	ENST00000371953	NM_000314.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	PTEN is a multi-functional tumor suppressor that is very commonly lost in human cancer. Observed in prostate cancer, glioblastoma, endometrial, lung and breast cancer to varying degrees. Up to 70% of prostate cancer patients have been observed to have loss of expression of the gene. It is a part of the PI3K/AKT/mTOR pathway and mTOR inhibitors have been relatively ineffective in treating patients with PTEN loss. New appoaches using microRNAs are currently being investigated.	1.0
PTPN11	5781	ENST00000351677	NM_002834.3	ENST00000351677	NM_002834.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
RB1	5925	ENST00000267163	NM_000321.2	ENST00000267163	NM_000321.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
RET	5979	ENST00000355710	NM_020975.4	ENST00000355710	NM_020975.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	RET mutations and the RET fusion RET-PTC lead to activation of this tyrosine kinase receptor and are associated with thyroid cancers. RET point mutations are the most common mutations identified in medullary thyroid cancer (MTC) with germline and somatic mutations in RET associated with hereditary and sporadic forms, respectively. The most common somatic form mutation is M918T (exon 16) and a variety of other mutations effecting exons 10, 11 and 15 have been described. The prognostic significance of these mutations have been hotly debated in the field, however, data suggests that some RET mutation may confer drug resistence. No RET-specific agents are currently clinically available but several promiscuous kinase inhibitors that target RET, among others, have been approved for MTC treatment.	1.0
RNF43	54894	ENST00000407977	NM_017763.4	ENST00000407977	NM_017763.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
SETD2	29072	ENST00000409792	NM_014159.6	ENST00000409792	NM_014159.6	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
SF3B1	23451	ENST00000335508	NM_012433.2	ENST00000335508	NM_012433.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	SF3B1 mutations have been described in several myeloid malignancies, predominantly myelodysplastic syndromes (MDS), as well as other hematologic malignancies, breast cancer, and uveal melanoma (UM). SF3B1 is one of several genes involved in RNA splicing that has been identified as recurrently mutated in MDS and other malignanices. The mutations affecting SF3B1 are typically heterozygous, point mutations suspected to be functionally deleterious with R625 and K700E described as a major mutation hotspots. MDS patients with SF3B1 mutations have been reported to have better overall and event-free survival than their wildtype counterparts. Additionally, these mutations are highly associated with subtypes of MDS characterized by ringed sideroblasts (refractory anemia with ringed sideroblasts and refractory cytopenia with multilineage dysplasia and ring sideroblasts). In UM patients, SF3B1 mutations have been reported to be associated with chromosome 3 disomy, which defines a subgroup with low risk of metastasis.	1.0
SMAD2	4087	ENST00000262160	NM_001003652.3	ENST00000262160	NM_001003652.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
SMAD4	4089	ENST00000342988	NM_005359.5	ENST00000342988	NM_005359.5	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
SMARCA4	6597	ENST00000358026	NM_001128849.1	ENST00000646693	NM_001128849.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
SMARCB1	6598	ENST00000263121	NM_003073.3	ENST00000618915	NM_003073.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
SMO	6608	ENST00000249373	NM_005631.4	ENST00000249373	NM_005631.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
SOCS1	8651	ENST00000332029	NM_003745.1	ENST00000332029	NM_003745.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
SPOP	8405	ENST00000347630	NM_001007228.1	ENST00000347630	NM_001007228.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
STAG2	10735	ENST00000218089	NM_001042749.1	ENST00000218089	NM_001042749.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
STK11	6794	ENST00000326873	NM_000455.4	ENST00000326873	NM_000455.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
TET2	54790	ENST00000380013	NM_001127208.2	ENST00000380013	NM_001127208.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
TNFAIP3	7128	ENST00000237289	NM_006290.3	ENST00000237289	NM_006290.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
TP53	7157	ENST00000269305	NM_000546.5	ENST00000269305	NM_000546.5	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes	TP53 mutations are universal across cancer types. The loss of a tumor suppressor is most often through large deleterious events, such as frameshift mutations, or premature stop codons. In TP53 however, many of the observed mutations in cancer are found to be single nucleotide missense variants. These variants are broadly distributed throughout the gene, but with the majority localizing in the DNA binding domain. There is no single hotspot in the DNA binding domain, but a majority of mutations occur in amino acid positions 175, 245, 248, 273, and 282 (NM_000546) (Olivier et al., 2010). To fulfill its proper biological function four TP53 polypeptides must form a tetramer which functions as a transcription factor, therefore even if one out of four polypeptides has inactivating mutation it may lead to dominant negative phenotype of variable degree. While a large proportion of cancer genomics research is focused on somatic variants, TP53 is also of note in the germline. Germline TP53 mutations are the hallmark of Li-Fraumeni syndrome, and many (both germline and somatic) variants have been found to have a prognostic impact on patient outcomes. The significance of many polymorphisms for susceptibility and prognosis of disease is still very much up for debate.	1.0
TSC1	7248	ENST00000298552	NM_000368.4	ENST00000298552	NM_000368.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
U2AF1	7307	ENST00000291552	NM_006758.2	ENST00000291552	NM_006758.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	U2AF1 is one of several spliceosome complex genes frequently mutated in a variety of hematologic malignancies, particularly de novo myelodysplastic syndromes (MDS), as well as solid tumors such as lung and pancreatic cancers. Two hotspot mutations (S34 and Q157) occur within the two zinc-finger domains of the U2AF1 protein. These mutations have been associated with altered splicing patterns in vitro and in vivo. U2AF1 mutations in MDS have been associated with an increased risk of transformation to secondary acute myeloid leukemia, however, the impact of these mutations on overall survival has been an area of debate.	1.0
VHL	7428	ENST00000256474	NM_000551.3	ENST00000256474	NM_000551.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	Von Hippel-Lindau (VHL) disease is characterized by heterozygous germline mutation in VHL gene on chromosome 3p. Patients are predisposed to developing hemangioblastomas of the brain, spinal cord, and retina; renal cysts and clear cell renal cell carcinoma; pheochromocytoma, pancreatic cysts and neuroendocrine tumors; endolymphatic sac tumors; and epididymal and broad ligament cysts. Cerebellar hemangioblastomas may be associated with headache, vomiting, gait disturbances, or ataxia. Spinal hemangioblastomas and related syrinx usually present with pain. Sensory and motor loss may develop with cord compression. Retinal hemangioblastomas may be the initial manifestation of VHL disease and can cause vision loss. Renal cell carcinoma occurs in about 70% of individuals with VHL and is the leading cause of mortality. Pheochromocytomas can be asymptomatic but may cause sustained or episodic hypertension. Pancreatic lesions often remain asymptomatic and rarely cause endocrine or exocrine insufficiency. Endolymphatic sac tumors can cause hearing loss of varying severity, which can be a presenting symptom. Cystadenomas of the epididymis are relatively common. They rarely cause problems, unless bilateral, in which case they may result in infertility.  The VHL gene product encodes pVHL, which binds to elongin C, elongin B, cullin-2 and Rbx1. This complex catalyzes the polyubiquitinylation of specific proteins and targets them for degradation by proteosomes. For example, under normoxic conditions, hydroxylated hypoxia-inducble factor alpha subunits (HIFα) binds pVHL targets HIFα for degradation. Under hypoxic conditions, HIF1α is not hydroxylated, pVHL does not bind, and HIF1α subunits accumulate. HIF1α forms heterodimers with HIF1β and activates transcription of a variety of hypoxia-inducible genes (i.e., VEGF, EPO, TGFα, PDGFβ). Likewise, when pVHL is absent or mutated, HIF1α subunits accumulate, resulting in cell proliferation and the neovascularization of tumors characteristic of VHL disease.  Pathogenic variants in VHL either prevent its expression (i.e., deletions, frameshifts, nonsense mutations, and splice site mutations) or lead to the expression of an abnormal protein (i.e., missense mutations). Missense mutations that destabilize packing of the alpha-helical domains, decrease the stability of the alpha-beta domain interface, interfere with binding of elongin C and HIF1α, or disrupt hydrophobic core residues result in loss of HIF regulation and are more likely to result in VHL type 1 (no predisposition to pheochromocytoma).  Missense mutations that result in pVHL that is normal with respect to HIF regulation are more likely to be associated with VHL with clinical pheochromocytoma.   Acquired somatic pathogenic variants in VHL may give rise to sporadic VHL-type tumors (i.e., clear cell RCC and hemangioblastoma) without other associated tumors characteristic of the hereditary disease. It should be noted that >90% of the most common form of kidney cancer (clear cell renal cell carcinoma) are associated with bi-allelic somatic mutation in the VHL gene, and is the rationale for the anti-angiogenic therapy for RCC patients.	1.0
WT1	7490	ENST00000332351	NM_024426.4	ENST00000452863	NM_024426.4	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes	WT1 is a tumor suppressor gene associated with the development of Wilms' Tumor, from which it was named. Mutations in exon 7 and 9 of WT1 have been recurrently identified in acute myeloid leukemia and associated with poorer prognosis and chemotherapy resistance.	1.0
AKT2	208	ENST00000392038	NM_001626.4	ENST00000392038	NM_001626.4	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
ARID2	196528	ENST00000334344	NM_152641.2	ENST00000334344	NM_152641.2	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
ATR	545	ENST00000350721	NM_001184.3	ENST00000350721	NM_001184.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
B2M	567	ENST00000558401	NM_004048.2	ENST00000559916	NM_004048.2	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
BARD1	580	ENST00000260947	NM_000465.2	ENST00000260947	NM_000465.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
BCL6	604	ENST00000232014	NM_001706.4	ENST00000232014	NM_001706.4	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
BRD4	23476	ENST00000263377	NM_058243.2	ENST00000263377	NM_058243.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
BRIP1	83990	ENST00000259008	NM_032043.2	ENST00000259008	NM_032043.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
BTK	695	ENST00000308731	NM_000061.2	ENST00000308731	NM_000061.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
CALR	811	ENST00000316448	NM_004343.3	ENST00000316448	NM_004343.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
CASP8	841	ENST00000358485	NM_001080125.1	ENST00000358485	NM_001080125.1	6.0	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	1.0	Yes	TSG	Yes		1.0
CBFB	865	ENST00000412916	NM_022845.2	ENST00000412916	NM_022845.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG, fusion	Yes	CBFB has been shown to be mutated in estrogen receptor positive breast cancer, although the significance of many of these mutations is yet to be determined. The CBFB-MYH11 fusion is a commonly accepted marker of favorable prognosis in acute myeloid leukemia.	1.0
CCND1	595	ENST00000227507	NM_053056.2	ENST00000227507	NM_053056.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes	Cyclin D has been shown in many cancer types to be misregulated. Well established for their oncogenic properties, the cyclins, and the cyclin-dependent kinases (CDK's) they activate, have been the focus of major research and development efforts over the past decade. The methods by which the cyclins are misregulated are widely variable, ranging from genomic amplification to changes in promoter methylation. While Cyclin D2 has only been found to be significantly deregulated in glioma, Cyclin D1 seems to be a pan-cancer actor. Cyclin D misregulation has been shown to lead to poorer outcomes in a number of studies, but currently there are no FDA-approved targeted therapies.	1.0
CCND2	894	ENST00000261254	NM_001759.3	ENST00000261254	NM_001759.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes	Cyclin D has been shown in many cancer types to be misregulated. Well established for their oncogenic properties, the cyclins and the cyclin-dependent kinases (CDK's) they activate have been the focus of major research and development efforts over the past decade. The methods by which the cyclins are misregulated are widely variable, ranging from genomic amplification to changes in promoter methylation. While Cyclin D2 has only been found to be significantly deregulated in glioma, Cyclin D1 in particular seems to be a pan-cancer actor. Cyclin D misregulation has been shown to lead to poorer outcomes in a number of studies, and currently there are no FDA-approved targeted therapies.	1.0
CCND3	896	ENST00000372991	NM_001760.3	ENST00000372991	NM_001760.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes	Cyclin D has been shown in many cancer types to be misregulated. Well established for their oncogenic properties, the cyclins and the cyclin-dependent kinases (CDK's) they activate have been the focus of major research and development efforts over the past decade. The methods by which the cyclins are misregulated are widely variable, ranging from genomic amplification to changes in promoter methylation. Cyclin D3 loss has been reported in T-ALL, a seemingly unique trend when compared to the amplifcations and overexpressions of the other cyclin D's. In a mouse study, the targeted therapeutic palbociclib significantly increased the median survival of the cyclin D3 knockouts.	1.0
CCNE1	898	ENST00000262643	NM_001238.2	ENST00000262643	NM_001238.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes	Cyclin E, while currenly not as widely implicated as its cyclin D counterparts, has been implicated in various carcinomas, including breast, gastric, stomach and colorectal. High levels of cyclin E, either by gene amplification or overexpression, have been shown to lead to poorer prognosis in gastic carcinoma, and these measurements are correlated with later stage disease. In lung cancer, neoplastic cells with higher levels of the cyclin E/CDK2 complex are more radiosensitive than their more lowly expressed counterparts.	1.0
CD274	29126	ENST00000381577	NM_014143.3	ENST00000381577	NM_014143.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG, fusion	Yes	CD274, also commonly referred to as PDL1, is a ligand that binds with the receptor PD1, commonly found on T-cells, and acts to block T-cell activation. PD1 expression has been observed in a variety of cancers including melanoma and non-small cell lung cancer. The interaction of PD1/PDL1 is hypothesized to be a possible mechanism for the tumor to escape immune response. A number of checkpoint blockade inhibitors including pembrolizumab and nivolumab have been developed that target the PD1/PDL1 interaction in order to allow T-cells to recognize tumor cells without being deactivated by the tumor.	1.0
CD79A	973	ENST00000221972	NM_001783.3	ENST00000221972	NM_001783.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	No		1.0
CD79B	974	ENST00000392795	NM_001039933.1	ENST00000392795	NM_001039933.1	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
CDK12	51755	ENST00000447079	NM_016507.2	ENST00000447079	NM_016507.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
CDK4	1019	ENST00000257904	NM_000075.3	ENST00000257904	NM_000075.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes	CDK4, along with its partner CDK6, are key players in cell cycle progression. The complex has been implicated in a number of cancer types, and is the focus of therapeutic research and development. One targeted therapy for CDK inhibition is palbociclib, which may slow the growth of advanced stage breast cancers. It has also been shown, in mouse, that CDK inhibition may sensitize mutant PIK3CA tumors to PI3K inhibitors.	1.0
CDK6	1021	ENST00000265734	NM_001145306.1	ENST00000265734	NM_001145306.1	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes	CDK6, along with its partner CDK4, are key players in cell cycle progression. The complex has been implicated in a number of cancer types, and is the focus of therapeutic research and development. One targeted therapy for CDK inhibition is palbociclib, which may slow the growth of advanced stage breast cancers. It has also been shown, in mouse, that CDK inhibition may sensitize mutant PIK3CA tumors to PI3K inhibitors.	1.0
CDKN1B	1027	ENST00000228872	NM_004064.3	ENST00000228872	NM_004064.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
CDKN2C	1031	ENST00000262662	NM_078626.2	ENST00000262662	NM_078626.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
CHEK2	11200	ENST00000328354	NM_007194.3	ENST00000404276	NM_007194.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
CRLF2	64109	ENST00000381566	NM_022148.2	ENST00000381566	NM_022148.2	6.0	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
CSF1R	1436	ENST00000286301	NM_005211.3	ENST00000286301	NM_005211.3	6.0	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	2.0	Yes	oncogene	Yes		1.0
CSF3R	1441	ENST00000361632	NM_000760.3	ENST00000361632	NM_000760.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
CTCF	10664	ENST00000264010	NM_006565.3	ENST00000264010	NM_006565.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
CXCR4	7852	ENST00000241393	NM_003467.2	ENST00000241393	NM_003467.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
DDR2	4921	ENST00000367921	NM_006182.2	ENST00000367921	NM_006182.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
ERBB3	2065	ENST00000267101	NM_001982.3	ENST00000267101	NM_001982.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
ERBB4	2066	ENST00000342788	NM_005235.2	ENST00000342788	NM_005235.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG	Yes	ErbB4 (HER4) is one of the four members in the EGFR subfamily of receptor tyrosine kinases. Ligands include EGF, epiregulin, betacellulin and the neuregulins (Sundvall et. al.). Of these, NRG3 and NRG4 exclusively bind HER4 (Hynes et. al.).  Mutations in ERBB4 have been identified in various cancer types including melanoma, lung adenocarcinoma and medulloblastoma. A therapeutic value of these aberrations still remains unknown (Arteaga et. al.).	1.0
ERG	2078	ENST00000288319	NM_182918.3	ENST00000288319	NM_182918.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
ESR1	2099	ENST00000206249	NM_001122740.1	ENST00000206249	NM_001122740.1	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	Yes	ESR1 has been a focus in breast cancer for quite some time, but is also clinically relevant in endometrial, ovarian and other cancer types. The identification of ER-positive breast cancers that are resistant to hormone therapy have inspired clinical sequencing efforts to shed light on the mechanisms of this resistance. A number of mutations in the ligand binding domain of ESR1 have been implicated in hormone resistance and anti-estrogen therapies. These observations have spurred efforts to develop therapeutics that stimulate ESR1 protein degradation (e.g. Fulvestrant), rather than acting as a small molecule antagonist. These agents are currently in clinical trials and have seen some success.	1.0
ETV6	2120	ENST00000396373	NM_001987.4	ENST00000396373	NM_001987.4	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG, fusion	Yes		1.0
FANCA	2175	ENST00000389301	NM_000135.2	ENST00000389301	NM_000135.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
FANCC	2176	ENST00000289081	NM_000136.2	ENST00000289081	NM_000136.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
FGFR1	2260	ENST00000425967	NM_001174067.1	ENST00000425967	NM_001174067.1	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes	FGFR1 is a member of the Fibroblast Growth Factor family, comprising of 4 receptors and 18 Ligands.  FGFR1 signalling downstream functions mainly via PI3K and MAPK pathways (Turner et. al.). Several ways of involvement of FGFR1 in cancer have been proposed: auto- and paracrine activation, amplification and overexpression (Marshall et. al,  Weiss et. al.,  Cheng et. al.). Especially amplification of FGFR1 in lung cancer is an emerging treatment target with clinical studies currently ongoing (e.g. NCT01004224). However, FGFR1 amplification does not always correlate with protein expression and predictive biomarkers still remain to be defined in clinic (von Mässenhausen et. al.). Mutation of FGFR1 seems to be less common, but has been described in glioblastoma, pilocytic astrocytomas and Ewing's sarcoma (Rand et. al., Jones et. al., Agelopoulos et. al.).	1.0
FGFR4	2264	ENST00000292408	NM_213647.1	ENST00000292408	NM_213647.1	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
FLCN	201163	ENST00000285071	NM_144997.5	ENST00000285071	NM_144997.5	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
FUBP1	8880	ENST00000370768	NM_003902.3	ENST00000370768	NM_003902.3	6.0	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
GATA1	2623	ENST00000376670	NM_002049.3	ENST00000376670	NM_002049.3	6.0	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
GATA2	2624	ENST00000341105	NM_032638.4	ENST00000341105	NM_032638.4	6.0	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	GATA2 is a transcription factor involved in stem cell maintenance with key roles in hematopoietic development. GATA2 mutations are associated with a variety of inherited and acquired immune disorders including myelodysplastic syndrome and acute myeloid leukemia. In addition to a role in hematopoiesis, the maintenance GATA2 expression has been implicated as a requirement in KRAS-driven non-small cell lung cancer. Preclinical models have indicated therapeutic benefit from targeting GATA2-mediated pathways in the context of KRAS-driven NSCLC.	1.0
